,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Necochea,54,AR,1622079485,76,-38.5473,-58.7368,10.89,4.41
1,Ribeira Grande,92,PT,1622079486,68,38.5167,-28.7,15.3,6.09
2,Leningradskiy,25,RU,1622079487,82,69.3833,178.4167,2.07,2.92
3,Kapaa,75,US,1622079487,69,22.0752,-159.319,28.18,1.79
4,Butaritari,85,KI,1622079488,79,3.0707,172.7902,28.7,8.6
5,Cockburn Town,9,TC,1622079337,78,21.4612,-71.1419,26.2,6.72
6,Ushuaia,75,AR,1622079490,100,-54.8,-68.3,-2.19,9.26
7,Rikitea,91,PF,1622079377,70,-23.1203,-134.9692,23.72,7.74
8,Carnarvon,40,AU,1622079491,49,-24.8667,113.6333,20.04,4.63
9,Burgos,0,ES,1622079492,87,42.3394,-3.7079,7.23,0.51
10,Bambous Virieux,20,MU,1622079492,94,-20.3428,57.7575,22.14,2.05
11,Troitskiy,98,RU,1622079493,68,57.0603,63.7481,10.27,4.82
12,Arraial do Cabo,40,BR,1622079494,83,-22.9661,-42.0278,21.92,1.54
13,Lavrentiya,2,RU,1622079495,73,65.5833,-171.0,3.26,5.64
14,Hailey,20,US,1622079495,36,43.5196,-114.3153,16.92,4.12
15,New Norfolk,60,AU,1622079496,66,-42.7826,147.0587,10.72,1.34
16,Bredasdorp,100,ZA,1622079252,93,-34.5322,20.0403,10.62,1.83
17,Punta Arenas,20,CL,1622079497,74,-53.15,-70.9167,-0.94,5.26
18,Khatanga,64,RU,1622079498,87,71.9667,102.5,-2.72,4.73
19,Barrow,90,US,1622079499,80,71.2906,-156.7887,1.01,6.69
20,Mahébourg,20,MU,1622079326,94,-20.4081,57.7,22.16,3.09
21,Mar del Plata,0,AR,1622079500,55,-38.0023,-57.5575,12.85,3.13
22,Peniche,100,PT,1622079501,88,39.3558,-9.3811,17.01,6.1
23,Mataura,100,NZ,1622079501,65,-46.1927,168.8643,9.71,1.11
24,Cherskiy,94,RU,1622079502,32,68.75,161.3,15.8,3.03
25,Aleksandrov Gay,65,RU,1622079503,68,50.147,48.5704,15.19,5.78
26,Ormara,13,PK,1622079503,87,25.2088,64.6357,29.2,2.81
27,Jacareacanga,81,BR,1622079504,75,-6.2222,-57.7528,23.3,0.29
28,Bengkulu,45,ID,1622079505,65,-3.8004,102.2655,29.48,1.32
29,Vaini,20,TO,1622079506,69,-21.2,-175.2,26.09,4.63
30,Yellowknife,90,CA,1622079507,32,62.456,-114.3525,10.31,2.24
31,Zhigansk,10,RU,1622079508,45,66.7697,123.3711,14.81,6.65
32,Avarua,40,CK,1622079508,78,-21.2078,-159.775,28.03,4.12
33,La Paz,75,BO,1622079306,76,-16.5,-68.15,8.99,5.66
34,Hobart,75,AU,1622079381,66,-42.8794,147.3294,10.92,2.68
35,Dalvik,38,IS,1622079510,67,65.9702,-18.5286,5.96,0.34
36,Inta,56,RU,1622079511,55,66.0317,60.1659,2.91,3.11
37,Hithadhoo,76,MV,1622079512,68,-0.6,73.0833,28.94,8.77
38,Yakima,1,US,1622079513,21,46.4665,-120.6678,25.86,5.14
39,Castro,100,BR,1622079513,61,-24.7911,-50.0119,14.36,1.59
40,Poltavka,3,RU,1622079514,57,54.3663,71.7632,14.46,7.66
41,Cidreira,100,BR,1622079515,74,-30.1811,-50.2056,13.93,3.07
42,Busselton,100,AU,1622079516,63,-33.65,115.3333,15.02,7.62
43,Kenai,1,US,1622079482,57,60.5544,-151.2583,18.35,7.72
44,Chui,16,UY,1622079517,82,-33.6971,-53.4616,12.0,4.74
45,Port Alfred,76,ZA,1622079518,86,-33.5906,26.891,16.2,3.57
46,Swan Hill,1,AU,1622079519,53,-35.3378,143.5544,16.23,6.21
47,Tual,68,ID,1622079309,73,-5.6667,132.75,27.55,10.73
48,Martapura,10,ID,1622079521,66,-3.4167,114.85,30.05,1.72
49,Sitka,90,US,1622079521,71,57.0531,-135.33,10.94,4.12
50,Bhan,15,PK,1622079522,34,26.5583,67.7214,34.23,3.03
51,Severo-Yeniseyskiy,100,RU,1622079523,52,60.3725,93.0408,5.81,2.9
52,Hilo,75,US,1622079523,72,19.7297,-155.09,28.49,4.12
53,Zeya,100,RU,1622079389,53,53.75,127.2667,12.08,0.86
54,Port Hedland,70,AU,1622079525,29,-20.3167,118.5667,26.03,8.75
55,Roald,0,NO,1622079525,87,62.5833,6.1333,10.03,7.2
56,Albany,88,US,1622079339,89,42.6001,-73.9662,20.4,2.47
57,Nikolskoye,91,RU,1622079526,98,59.7035,30.7861,8.0,2.1
58,Norman Wells,75,CA,1622079527,50,65.282,-126.8329,12.02,4.63
59,Beya,48,RU,1622079528,70,53.0533,90.9139,19.56,1.63
60,Port Lincoln,99,AU,1622079421,63,-34.7333,135.8667,16.1,3.06
61,Kalāleh,100,IR,1622079529,87,37.3807,55.4916,19.05,1.26
62,Marathon,1,US,1622079530,47,44.9,-89.7668,15.74,3.56
63,Srednekolymsk,94,RU,1622079530,33,67.45,153.6833,17.63,6.9
64,Aljezur,99,PT,1622079531,75,37.3191,-8.8033,15.79,2.46
65,Provideniya,0,RU,1622079532,49,64.3833,-173.3,8.06,6.0
66,Lorengau,99,PG,1622079533,91,-2.0226,147.2712,25.94,6.23
67,San Patricio,2,US,1622079533,86,28.017,-97.5169,27.4,5.02
68,Kirovskiy,100,RU,1622079534,50,45.0917,133.5136,17.43,0.97
69,Atuona,76,PF,1622079535,75,-9.8,-139.0333,26.46,6.16
70,Beyneu,79,KZ,1622079535,26,45.3167,55.2,27.61,2.31
71,Cape Town,100,ZA,1622079536,89,-33.9258,18.4232,12.84,2.41
72,Airai,8,TL,1622079537,55,-8.9266,125.4092,21.97,2.63
73,Ola,100,RU,1622079537,74,59.5833,151.2833,5.96,1.58
74,Bluff,100,NZ,1622079538,69,-46.6,168.3333,9.89,6.01
75,Visby,20,SE,1622079539,100,57.6409,18.296,9.36,4.63
76,Upernavik,100,GL,1622079540,93,72.7868,-56.1549,-0.39,4.47
77,Cherlak,100,RU,1622079541,53,54.155,74.8055,15.39,8.21
78,Micheweni,48,TZ,1622079541,83,-4.9667,39.8333,24.72,5.55
79,Chokurdakh,29,RU,1622079542,69,70.6333,147.9167,7.0,4.58
80,Hervey Bay,3,AU,1622079544,59,-25.2986,152.8535,24.45,1.79
81,Sistranda,42,NO,1622079545,90,63.7256,8.834,8.98,6.94
82,Camabatela,3,AO,1622079546,59,-8.1881,15.375,14.65,1.74
83,Tanout,13,NE,1622079546,11,14.9709,8.8879,26.4,1.39
84,Pangai,75,TO,1622079547,73,-19.8,-174.35,26.06,3.6
85,Morondava,2,MG,1622079548,89,-20.2833,44.2833,19.07,3.44
86,Pangnirtung,100,CA,1622079548,90,66.1451,-65.7125,-5.68,2.26
87,Örnsköldsvik,20,SE,1622079549,70,63.2909,18.7153,7.9,6.33
88,Mzimba,0,MW,1622079550,86,-11.9,33.6,10.39,2.65
89,Berlevåg,99,NO,1622079550,71,70.8578,29.0864,4.23,6.7
90,Hasaki,100,JP,1622079551,89,35.7333,140.8333,18.16,7.39
91,Kahului,40,US,1622079552,72,20.8947,-156.47,31.41,9.77
92,Deming,1,US,1622079553,4,32.2687,-107.7586,30.94,7.2
93,Vanimo,38,PG,1622079553,63,-2.6741,141.3028,30.47,1.89
94,Palmer,90,US,1622079554,86,42.1584,-72.3287,20.96,2.59
95,Torbay,90,CA,1622079332,96,47.6666,-52.7314,9.93,2.57
96,Vardø,81,NO,1622079555,79,70.3705,31.1107,4.1,7.49
97,Flinders,0,AU,1622079556,52,-34.5833,150.8552,17.81,3.13
98,Berlin,0,DE,1622079361,80,52.5244,13.4105,10.04,4.02
99,Mount Gambier,75,AU,1622079557,82,-37.8333,140.7667,13.95,5.66
100,Araouane,100,ML,1622079558,23,18.9048,-3.5265,33.4,4.0
101,Bathsheba,75,BB,1622079558,69,13.2167,-59.5167,27.34,7.33
102,Saint George,1,US,1622079559,9,37.1041,-113.5841,32.26,0.45
103,Champerico,100,GT,1622079560,70,14.3,-91.9167,29.64,2.86
